IDENTIFIER	GSM19023	GSM19024	GSM19025	GSM19026
CREB1	286.5	328.5	344.1	364.5
CREB1	166.7	214.5	186.2	101.3
CNR2	42.9	90	16.7	20.1
ZP3	48.7	32.7	40.7	227.4
VHL	257.4	475	184.2	323.8
ARHGDIG	23.5	30.3	30.4	24.3
TRIM21	721.5	1092.2	546.9	543.8
MADCAM1	667.3	327.7	367.2	244.4
MADCAM1	162	173	148.9	179.9
TNFRSF4	648.7	427.4	97.8	117.7
EPHA8	321.4	341.1	311	316.8
SLC30A3	3563.4	3721.7	3856.7	4012.8
SMR2	152.5	213.4	121	229.3
SMR2	103	162.8	218.5	79.2
SUV420H2	1029.2	780.5	1006.4	901.8
SUV39H2	91.3	24.1	56.2	114.9
GZMD	37	13.8	11.1	37.5
TAPBP	2421.8	1977.4	1762.7	1636.6
CYP2B19	70.4	66.5	93.9	78.7
ZFP385A	830.7	1089.2	1965.9	1450.3
H2-T3	6663.5	5501.4	403.2	500.6
KLK1B26	393	184.9	86.8	78.5
PSG16	4	6.1	3.8	10.2
TCRG-C	1050.8	1232.9	506.1	822.1
PITPNB	439.3	437.3	317	236.2
PITPNB	1154.1	1241.2	862.1	1343.1
EPAS1	511.2	524.1	532	833.8
MX2	190.8	206.8	144.6	241.6
TBR1	13.1	23.4	44.1	25.7
CYP2B10	368.8	618.1	611.3	637.6
CUEDC1	533.8	465.5	1062.5	795.8
AQP4	231.2	137.7	307.4	327.1
AQP4	399.1	377.2	810.2	739.2
IL2	6.8	6.8	6.4	6.1
SERPINA3C	55.3	43.1	21.9	35.8
SERPINA3C	402.4	417.3	223	336.6
BTN1A1	50.2	30.5	34.5	38.6
HIRA	185.7	106.7	231	114
APBB1IP	11212.2	9797.7	2147	2085.6
RGS14	3376.3	4004.2	1006.3	1135.2
SAA3	154.7	249.3	68	89.5
GATA4	1482	1036.9	1495.7	2148.6
HSPA1L	190.2	373.3	564.4	1056
NR2F1	218.3	222.1	327.3	230.8
EYA3	235.4	262.6	61.6	82.2
OAS1G	86.5	26.4	35	32.9
CCR5	131.2	124.5	9.8	64.1
CCR5	60.9	42.2	11.6	22
TEK	576.5	730	1267.5	1264.9
IGHG3	1824.1	1481.5	376.7	243.4
IGHG3	1037.3	1130.2	312.6	131.7
IGHG3	45	13.5	14.7	54.3
RABEP1	375	396	410.4	327.6
KCNAB1	113.6	8	61.7	81.2
TAC1	33.5	91.2	90.2	106.3
BDNF	599.9	659	1011.6	1242.9
GZME	30.4	35.4	29.9	45.3
HSD3B6	32.1	5.1	51	65.1
H2-M3	214.3	96.3	162.9	75.9
H2-M3	1385.1	1016.6	813.8	777
TLN1	496.8	641.5	1038.6	964.3
GZMC	10	12.8	17.4	33.4
BIRC2	1294	1656.4	1028.4	1211.8
TEX9	27.7	16.9	7	19.9
CCL2	473.3	315.4	431.4	468.5
EDN1	179.8	289.5	386	369.5
EDN1	473.1	264.7	439.5	449.5
SMR3A	34.2	10.3	32.2	50.6
MKRN3	8.4	49.7	2.6	82.6
ADAR	118.4	99.2	44.3	69.5
MAPT	843.6	840.4	3938.3	3166.4
MAPT	604.9	973.5	1508.5	1559.5
TCRG-V4	1272.6	1220.8	32	25.1
TCRG-V3	1167.3	1079.5	142.5	157.3
BC089491	60.1	72.8	91	111.8
TCTE1	616	477.5	358.5	265.6
F5	80.1	67.8	125.3	90.6
COX7A1	14907.8	14709	27258.4	26346.9
APBA3	2785.1	2442.8	4725.3	4344.1
TGFB3	729.8	783	1220	1654.8
CYFIP1	1858.3	2265.2	2654.8	2846.1
MEN1	100.8	114.4	78.6	89.8
BIRC6	2262	2902	1663.8	1900.1
ITLN1	521.2	419.7	491.4	732.2
RBM6	536	466.3	248.7	270.2
PIK3R2	511.6	668.1	800.8	875.5
GRPEL2	845.8	743.4	686.9	634.9
RHAG	287.3	294.2	202.4	378.7
PLIN4	1081.5	980.9	2763.2	2998
TRAP1A	84.5	129.9	135.1	184.5
COPS7B	1109.8	1360.9	1183.7	996.8
MYCBP	101.3	114.8	51	42.4
GNG12	2457.3	2418.2	2506	2479.4
SC5D	638.5	1252.8	458	473.2
SC5D	497.5	623.1	295.4	380.1
GYPA	589.1	517.5	628.3	864.3
SETDB1	1240.5	1866.3	869.9	780.9
ABL1	2304.7	2248.1	2147.6	1896.4
CAR8	391.8	353.4	716.2	490.4
EGF	300.3	340.2	498.9	398.8
USP38	2106.6	1906.6	917.9	1092.4
X61497	55.2	45.8	89.9	79.6
CD79A	1698	1472.7	936.5	1183.3
GADD45B	987.9	464.1	494.1	202
SRXN1	519.1	244.8	350.4	307.6
CCNL2	3586.9	5537.2	2737.9	3624.6
RIOK1	255.3	316.3	233.1	229.7
FGGY	775.9	1031.3	1095	1144.1
OS9	108.7	89.2	122.5	78.7
MATN1	17.2	17.9	19.1	28.1
CLCN3	6018.2	4750.1	6012.5	5667.1
GPR56	371.1	810	893.2	1019.4
PITX2	51.4	18.2	20.5	25.7
GATA2	692.7	731	859.5	1131
JTB	12318.4	9276.3	6581.1	9504.2
PSMB8	12915.6	11407.3	2617.6	2697.5
UNG	1609.8	1794	1961.4	1825.3
KRTAP8-1	45	84.1	35.2	11.9
CXCR4	3043.7	3281.8	450.1	607.8
MESP1	226.6	116.4	185.3	333.7
NPM3	770.9	686.1	466.6	608.6
DHRS3	1665.6	1463.7	1923.8	2047.2
ADM	587.1	524.5	521	618.1
C4BP	23	11.7	51.8	64.6
FOXC2	181.2	277.6	380.8	397.9
BGLAP3	376	329.9	124.6	121.4
IL18	291.7	240.5	250.4	150
LIG3	593.9	750.5	587.3	639.8
CEACAM2	1565.7	2214.5	2019.5	2523.3
CEACAM1	235.3	233	387.7	477.8
CEACAM1	233	164	196.9	239.6
PRUNE	1704.6	2085.8	2219.4	2920.4
SCN1B	666	668.1	937.6	736.1
LCK	23406	22924.2	3442.7	2779.7
EXT1	669.6	632.7	1043.5	783
UBA5	2107	1118.3	1413.6	1905.5
UBA5	952.7	803	701.1	557.9
GM15284	173.7	155.9	139.6	91.4
ANXA11	6481.8	5788.3	7459.9	7806.1
SERPINA3M	103.1	14.4	6.5	9.5
ZRSR1	436	732.6	1131.3	1087
GM4297	16.3	37.5	46.7	71
NAP1L2	49.8	30.6	19.8	55.9
CYP2B13	41.2	35.2	28.1	271.6
RASL2-9	27069.6	20803.8	10945.7	8868
GZMF	15.6	16.2	12.9	16.3
IGHG	3369	2462.4	33.1	17.2
IGHG	2191.2	1743.6	157.3	95.6
IGHG	160.7	177.4	78.8	77.2
AKR1B7	104.4	663.4	703.2	461.4
NEK7	6708.9	5329.3	14876.5	9607.1
MAP2K6	314.5	407.9	380.1	456.9
MAP2K6	321.3	334.9	335.9	283
CD86	138.1	81.9	18	37.7
CD86	236.4	297.8	242.5	323.9
ADAM1A	106.5	266.4	218.2	342.7
CBX2	856.4	846.8	358.2	251.6
AA547587	53.7	135.7	64	62.3
AP2A2	1238.3	1205	1077.6	1511
INPP5K	2794.8	2766.6	2030.9	2322.2
SELL	276.1	652.5	180.9	414.3
PLSCR1	569.9	461.3	795.4	690.1
PTPN12	114.6	110.2	363.7	315.2
102841_AT	724.4	646.2	790.8	1046.4
IGHG	3274.7	2857.3	35.6	158.9
IGHG	95.2	23.1	6.2	19.2
PDLIM7	962.3	1099.2	998.5	1334.5
TSSK2	22	38.9	270.1	94.5
CYP2A5	2343.5	2295.2	4238.5	3857.7
2610524H06RIK	1162	1104.7	313.1	486.6
KCNJ8	732.6	1029.9	1114.5	1084
TNK2	1339	1115.1	861.4	804.3
PTPN6	1869.7	1957.8	377.9	366.1
CDH2	5354.5	5841.1	15365.3	13820.6
SMC3	1959.9	1853	1131.8	962
ATP7A	575.4	595.3	548.4	498.2
SOX10	802.4	747.3	1064.2	880.9
AKAP4	31.6	23.6	16.5	19.1
PKIB	277.1	245.9	338.6	344.7
REEP1	1131.6	1251.6	2780.3	2604.4
SERPINA3G	2608.7	2487	1314.7	1128.6
SLC22A18	361.6	443.5	244.9	329.3
C2CD2	265.3	517.2	804.4	487.2
ZKSCAN1	1979.8	1883.5	1606.5	1541.7
HOXA7	74.3	53.8	85.3	108
SMAD5	199.9	202.7	304.2	219.8
TEAD4	1020.5	1022.7	1144	1272
TEAD4	229.6	36.9	193.6	320.3
TEAD4	176.9	31.2	46.6	38.3
EFNA2	263.6	266.1	273.9	344
DYNLT1A	3247.4	3528.4	5650	5048.4
EPHB6	2054.6	1964.2	746.3	582.7
ZFP51	301.1	380.5	158.9	242.8
TAP2	3419.1	2790	844.6	865.4
PTPN11	66.2	25.8	186	102.9
RPS6KC1	359.2	409	449.7	512.1
GZMG	127	207.7	225.8	150.6
GZMB	239	141.9	199.9	64.8
RAD52	758.3	953.5	467.7	784.6
FCGR1	446.3	610.4	457	397.4
BBS9	413.4	140	306.4	118.6
BBS9	599.9	430	579.3	587.1
ZFP46	90.9	36.5	22.2	248.5
RPAP1	849.7	1115.8	1152.5	991.6
INPP5D	736.1	601.3	103.2	156.8
VAMP7	627.3	975.9	419.6	580.5
GPC4	483.5	456.6	658.8	757
TNFRSF11B	151.4	243.9	114.9	269.8
LIMK1	299.6	273.9	219.3	154.1
LIMK1	2336.2	2449.3	984.4	2500.2
SNTA1	1937.2	1939.8	4340	4164.9
WRN	961.5	824.4	415.5	361.4
KCNAB2	643	767.4	130.3	200.8
POU2F1	991	1386.6	1239.4	1197.4
POU2F1	1788	1943.1	1191	1275.5
NIPBL	2909.3	2643.4	1151.5	1303
DOK1	514.5	757.8	242.5	372.5
HGF	61.2	4.7	3.4	14.5
ST6GALNAC3	249.3	232.6	166.6	343.3
SIX3	15.1	11.9	122.4	30.8
SIX3	28.3	24.6	41.4	42.3
LHX3	68	157.1	39.4	297.6
H2-EA-PS	30	73.1	25.1	54.2
CASP4	212.5	306.3	114.8	244.5
TGTP2	3872.3	3371.3	1063.4	966.7
PHLDB2	605.2	745.1	1401.8	1671.1
EPB4.2	88.3	101.9	96.1	186.1
ABCB1A	245.3	255.7	634.8	536
BRCA2	592.1	590.7	37.2	86
TNKS2	2394.6	2463.1	2650.7	2808.1
BCL2A1D	7.3	54.7	6.7	5.5
MTHFS	2355.7	3021.4	721.6	1082.7
F2RL1	620	667.4	271.3	407.9
TNXB	1861.9	1243	4490.9	3631.8
CIITA	551.9	561.5	394.9	356.4
MUC1	214.4	493.5	896.2	1321.3
MAFK	1381.1	1478.4	1564.2	2152.5
TTC39B	451.8	632.6	646.7	750.5
FAS	1088.6	1160.2	449.5	363.9
PITPNC1	1583.7	1344.9	2286.2	1638.2
PNOC	23.4	31.3	34.7	29
DTX1	755.2	690	452.5	540.7
DUSP9	16.3	18.4	8.8	10.5
GFRA3	477.6	405.9	690.8	658.9
HTT	948.8	1062	758.2	164.4
HTT	3981.5	4170.5	4109.9	4946.9
FLT3L	381.6	363.5	254	322.2
PMEL	101.7	300.7	431.3	504.6
WAP	72.1	37.8	59.1	87.2
NR5A2	139.3	94.2	121.8	189.9
PLXNA3	538.7	797.2	571.5	788.4
CDC25C	689.6	790.5	43.1	96
CDC25C	371.9	352.4	135.5	79.1
B4GALT6	535	407	779.4	746
GM1995	350	225.5	315.4	205.6
LECT2	87	220.1	122	424.9
CD22	603.3	631.8	385.7	257.1
LTB	7859	7621.6	1786	1461.8
UGGT1	399	387.9	355.1	396.7
SPECC1	125.3	226.5	395.6	317.4
ATG7	341.4	469.8	454.8	409.9
G3BP1	867.7	972.6	1286.3	1260.2
GAPDHS	192.5	231.6	188.6	438.3
SLC22A2	58.7	265.6	274.9	182.3
GML	9.4	7.8	8.6	11.9
GML	54.1	58.3	68.6	36.8
HEMT1	25.8	15.9	30.5	32
CRADD	234.5	360.6	484.6	531.4
CRADD	563	628.4	598.2	561.6
MSLN	139.1	124.1	401.2	378.2
SOX5	26.5	25.1	71.1	36.2
NFIL3	314	281.6	357.1	333.3
MSX2	14.4	14	36	28.1
LCP2	4612.3	3899.5	401.4	371.9
EBF2	536.7	624.4	823.8	783.1
TLE4	220.8	215	270.3	188.7
SLC50A1	2101.2	1922.8	1677.3	1834.3
HRG	17	26.4	27.7	138.3
SEPT1	872.7	640.4	710.8	736
E2F1	188.3	191.5	51.4	239.4
ZFP639	1374.4	1475.3	1539.8	1983
ZNFX1	969.9	995.9	725.2	999.2
CNOT6L	518	791.5	603.2	559.7
GDAP1	13.3	15.1	17.1	21.8
GGT5	387.5	315.9	247.5	415.9
NEURL4	1051.5	1306.6	1746.8	1898.2
PSMC3IP	226.4	242.8	111.2	68.9
CD3E	7378.8	5558.4	1684.3	1274.8
DAB1	239.8	175.4	134.2	517.1
MUG2	83.2	55	62	20.7
MARCO	317.8	116.8	56.6	50.3
CD8A	14407.9	16502.5	1364.3	1351.4
BRCA1	396.2	475.1	192.6	72.6
A	99.4	103.4	79.8	54.4
A430104N18RIK	5324.3	3468.9	1483	2139.4
SHF	11.1	60.7	87.5	214.4
NMT1	929.3	838.4	962.4	1191
GABPA	359.8	304.4	161.7	125.6
B230308N11RIK	2359.8	2630.1	1425.9	2751.1
SMAD1	1701.1	1503.5	1501.7	1229.4
SMAD1	2558.6	2388.1	3131.6	2486.8
SRPK1	1066.3	1114.3	765.5	596.5
MYOD1	407.6	562.2	514.5	803.6
2010109K11RIK	170.7	120	254.4	204.6
INPPL1	4910.5	3956.5	5599.3	7783.7
MT4	811.1	773.9	217.6	223.7
COL3A1	409.2	423.3	443.3	411.1
H2-KE6	2442.4	2776.7	3489.9	4666.4
H2-KE6	121.1	135	120.9	64.9
GGTA1	1961.1	1544.4	1795.5	1571.4
STAT4	379.3	419.8	308.2	347.2
GZMA	1300.4	986.9	263.1	185.3
ELL	1630.4	1279.2	1239.1	1381.7
CYP1A2	52	38.8	56.9	107.7
VEGFB	5602	4823.8	9334.1	10246.6
B4GALT1	3563.5	3924.6	4371.1	5107.6
CD44	1.9	57.8	3.8	5.2
CD44	23.4	69.4	47.3	14.2
CD44	259.5	192.1	74.6	175.2
ATF5	689.4	827.2	1568.1	1202.7
EFNA1	514.1	500.3	679.1	750.5
HIRA	1298.7	1098.1	907.4	1057.5
6820431F20RIK	556	664.9	441.9	434.5
SIN3A	2815	3217.2	2140.4	2475.6
CCL21B	9463.5	8680.2	2515.5	2552.8
USF2	2419.5	2931	1324.5	1842.4
BCL6	3015.1	3514.2	2001.9	1600.7
CD68	1788.3	1575.4	1047.1	1094.6
GPR137B-PS	744.5	1348.3	878.4	1102.7
USO1	2413.7	2343.1	1229.7	1689
MAP3K1	6192.5	5141.3	2521.9	1913.4
MAP3K1	413.7	745.9	239.6	376.6
MAP3K1	19	41.8	76.7	25.2
LCAT	183.9	202	170.3	258.8
ADAM8	264.9	306.5	73.3	86.4
MOV10	446.7	394.6	487.3	144.4
CRYGE	446.2	524.8	492	819.3
1810030O07RIK	3103	3330.9	2661.8	2813.3
ITK	5884.3	5501.1	1116.7	885.9
PDCD4	7313.2	8903.1	2527.5	2518.4
DNM1	659.2	660.6	1574.7	1123.9
DNM1	1689.5	1402.5	1558.5	1606
TPST1	930.1	881.3	1205.6	1239.5
C4A	2360.8	2103	2353.1	2195.5
CCNE1	1836.5	1432.3	581.7	814
TAP1	2714.7	2717.3	1031.7	1003
XRCC6	2605.9	2852.4	703.6	609
CTF1	697.1	726.7	928.3	940
GUCA1A	301.2	356.2	243.9	257.3
ITGA5	36.6	179.3	604.5	671.2
CD83	1309.6	1558.6	437.8	331.2
EFNA4	52.3	62.2	149.7	35.6
MTCP1	1371.4	1250.5	1279.9	1629.7
MTCP1	2098.4	2231	2312.7	2907.6
MTCP1	46.5	91.7	99.9	75
CAR4	916.6	920.4	1361.7	1744.5
PEX2	1171.9	1385.6	1180.8	1637.5
MYCN	293.5	203.9	28.4	44.8
MYCN	576.8	614.9	888.2	1005.8
TCF21	529.6	587.9	1025.7	894.9
WFDC18	595.7	1086.6	246.7	54.5
NR2F2	1266.2	854.3	1518.4	972.7
MYOG	293.5	209.5	303.9	251.3
POLR2A	3048.6	2296	4147.9	4551.7
POLR2A	2385.6	2903.5	3039.9	3615.4
UTP18	800.6	973.7	338.8	500
POLD1	1574.7	1751.3	1127.8	1117.7
TCP10C	18.5	7.9	98	94.5
FXYD3	583.6	709.4	283.6	306.4
LGI4	221.7	531.8	329.5	724.3
GAD1	7.1	6.6	81.7	20.7
RAB33B	937.6	917.2	717.9	714.1
ZFP62	1344.5	1868.2	820.6	976.4
CHEK1	1504.5	1447.2	362	322.1
SLC20A1	1272.7	1340.8	1107.7	1065.5
CMPK2	197.5	140.9	55.2	55.6
RALA	1318.1	1301.7	1336.3	1406.2
AKR1E1	218	179.2	225.1	334.2
LIN9	1104	1019.7	456.3	392.1
SIRPA	776	722.4	722.2	665.6
TOPBP1	1350.5	1688.7	311.1	386.1
HSD3B1	149.5	198.6	201.4	195.2
GM12372	7050.1	8631.7	6701.7	8758.2
GM12372	2915.1	3251.9	1436.5	1894.7
POU5F1	12.7	99	22.1	30
CHMP5	714	978.6	665.3	904.8
TMEM150A	694.2	499.3	1526.3	1319.3
ARID2	3139.3	3051.2	1302.8	1070.1
SAMHD1	684.2	809.9	505.3	591.2
BAZ1B	6028.2	5400.3	6174.6	4677.6
AMMECR1L	1909.3	1533	1950	1434.2
LIPE	2394.1	1816.2	2240.5	1261.8
CSRP3	22821.5	18202.2	43480.2	35119.4
HEBP1	1736.8	872.9	1273.8	937.3
HOXA5	231.1	214.3	300.4	198
SULT1A1	346.4	375.5	550.8	676.6
CHL1	67.6	133	27.5	50.9
CD48	2321.6	2253.2	528.1	449.8
UQCC1	1661.9	1986.5	2888.9	3322.2
RELB	800.8	688.4	751.3	807.2
TRIM37	713.5	1035.2	154.8	394.5
SERF1	682	635.8	638.2	842.4
GRB7	253.9	287.8	884.3	1079.1
ZPR1	217.1	416.7	344.2	221.9
SDHAF2	1144.4	1334.5	1442	1348.7
BAIAP2	1030.5	1028.3	1129.7	1416.6
CXXC1	5179.6	4519.1	4300.5	4506.9
WWTR1	852	1454.9	1891.7	2846.5
TARBP2	1489.6	1187.3	2548.2	2004.9
C78948	74.3	53.2	81.5	72.8
IFITM10	465.9	594.2	675.1	419.7
XCL1	160.9	208.7	149.2	256.5
FAM65B	699.2	944.2	319.5	277.7
TTK	634.5	961.6	110.3	151
GBP3	2004.7	2276.7	1514.5	1621.4
E2F8	567.4	681.3	182.8	127.9
E2F8	987.6	1163.1	180.1	304
TCIRG1	1475.2	1219.2	1434.5	1801.7
COG5	567.2	685.8	838.1	568.3
POLA1	1740.9	1408	387.4	372.4
KCNC1	38	157.8	119.8	61.6
LTBP1	227	291.4	314.4	349.5
CSF2RB2	505.8	514.7	286.5	289.9
WDFY2	1580.7	1740.8	1146.2	390.8
CDCA7L	506	549.5	145.1	217.9
CDH15	16	34.4	29	198.3
HSPB2	2527.2	2138.2	5341	4387.9
HSPB2	11810.6	9080.6	19420.2	18767.9
IKBKG	635.6	809.3	1008.7	967.5
CFLAR	725.7	716.6	594	473.2
SLC10A3	1088	692.8	1036.5	828
ACPP	735.2	495.6	487.8	567.8
NDNL2	1359.6	1211.8	1132.1	821.6
SAAL1	541.6	616.7	121.2	285.4
EPS8	169	195.9	278.6	392.5
PRKCE	485.9	869	989.5	974.8
RAB33A	191.4	178.3	189.2	52.3
DNASE1L1	506.1	772	611.7	784.3
MRC1	692.2	749.4	1345.1	1018.1
UGT2B34	87.3	101.7	25.4	157.5
MTMR7	44.7	50.6	15.5	36.9
NCOA1	311.4	557	721.6	687.9
RHOH	4736.3	4914.2	544	743.5
MAP1S	543.5	697.1	452.7	147.7
HIPK3	517.5	531.7	911.9	747
NEFH	266.2	294.4	160.7	92.3
NPY	288.7	337.8	413.6	255.5
RING1	386.1	226.8	588.4	173.5
MXD3	658.4	710.9	478.6	510.1
WNT4	114	95.3	27.7	60.6
CDX2	38.3	107.5	159.6	37.9
EAR2	355.8	514	289.9	366.2
ADCY2	385.5	120.4	412	193
AP1G1	2056.8	1536.5	1092.2	1156.3
EMP2	1085.1	1235.3	2139.8	2526.6
CLEC11A	547.1	493.6	485.7	430.6
CST8	80.9	50.4	35.9	32.5
MPP3	231.2	331.4	516.6	391.9
FKBP1B	802.6	1069.9	929.8	885.2
CHRD	73.5	48.7	77.1	88.4
DFNA5	20.3	14.6	12.5	24
CDADC1	1069.7	1100.4	1260.7	900.9
GPR37	42.6	104.2	33.2	106.6
LIN7B	24.1	20.4	30.2	36.7
TRAFD1	1175.5	1081.7	1662.7	1510.8
TRAF5	905.4	1182.4	945.9	1179.5
MS4A4D	358.7	390.7	688.1	1022.5
TMEM56	170.6	149.3	173.2	112.7
LY75	2603.6	3724.6	279.2	279.4
GFI1	1695.6	1652.5	239.3	272.4
DOCK5	552.8	655	791.1	625.4
GSPT2	365	201.9	350.5	296.3
HIPK1	443.8	481.3	331.1	279.4
EPC1	4290.5	4429.4	3750	3236.1
MTMR1	497.9	486.3	349.4	361.8
EPB4.1L1	30.9	94.3	30.5	32.5
LTB4R1	339.4	156.6	104	166.1
103267_I_AT	33.2	23.2	14.9	17.1
103268_R_AT	40	97.6	131.4	278.2
ZFP125	462.6	539.4	166.4	247.6
GTSE1	766.9	619.6	536.2	310.6
LRP6	171	267.8	248.3	266.2
CAPN3	3089.4	2994.9	1491.5	1598.9
ABCC8	778	630.5	1329.3	1223
ABCC8	285.3	324.3	228.4	285.9
ATP6V0A1	453.4	564.7	1012.7	1072.8
LARGE	508.9	720.3	995.2	1304.4
MED12	2906.5	2778.7	2109.4	2135.4
PADI4	292.2	300.4	259.9	195.8
SH2D1A	2652.4	2734.4	393.7	363.9
CD2AP	312.1	434.4	263.2	198.7
RASGRP2	1082.3	1203	611.1	778.6
ELF5	56.1	38	19.2	28.3
CYP8B1	52.5	87.9	75.9	77.1
MBD4	749.8	729.5	370.4	334.8
STAM2	521.9	486.9	339.3	308
NRIP1	1780.6	2000.3	1198.4	1348.5
CORIN	2584.5	2975.4	8638.3	6543.6
MAGEA5	82.7	258.6	89	69.9
STC1	13.9	50.4	98.7	110.6
GOSR1	920.2	874	906.3	955.1
RGS5	898.4	753.9	1043.1	1208.1
MIA3	1918.7	1664.5	2176.4	1739.9
CST9	133.7	21.6	166.9	125.7
PFKFB1	386.7	264.9	821.1	560.6
SPEG	63.8	74.9	216.2	127.8
PLD4	575.3	523.7	407	397.8
ABCB7	3007.8	3198.3	3825.5	3368.8
SOX3	138.2	171.2	143.5	120.6
SOX3	594.9	373.6	277.7	811.4
CHD7	614	529.4	845.3	1041.7
ITGB4	854.7	832.9	278.6	421.9
SERPINB6C	200.3	142.2	29.5	177.9
MIS18BP1	304.7	490.2	266.1	141.1
MTOR	1081.5	1083.4	1412.4	1273.4
KDM5B	216.3	323.3	201.3	207
OSBPL5	1779.7	1722.2	2214.1	2010.8
ESF1	1530.6	1426.7	1121.8	1226.8
ESF1	5.3	77.5	34.8	82.3
PARP8	484.3	417.6	357.2	317.1
TNRC6A	2831.5	2726	1925.7	1670.1
CAMSAP1	460.2	543.8	828.5	502.5
COCH	3.6	6.9	7.4	12.3
GABPB1	1394.6	1064.7	818	645.6
PSMD10	783.6	733.1	497.5	434.9
MOB1B	1121.3	918.8	997.7	964.7
RPIA	2494.6	3157.3	3399.9	3080.7
TBCEL	1152.1	1321.9	948	886.7
PRRX2	261	179.1	227.4	166.8
TANK	1731.2	2252.9	1056.8	1012.7
STRBP	115.2	77.8	126.6	102.3
STRBP	982.9	924.9	224.7	160.8
C030006K11RIK	544	455.6	593.1	601
GPR125	113.1	22	127.7	149.5
G6PC	297.8	380.5	439.8	535.3
CRCP	531.2	455.7	388.5	449.5
LGALS9	5351.3	4120.3	2132.9	2319.8
LOC100504952	7.3	4.8	72.7	62
PARP6	735.1	589	736.2	672.4
RHD	401.4	395.5	1121.7	1152.9
CTPS	3828.1	3027.4	3503.5	3226.2
EED	1988.5	2040.1	1263.9	1428.8
FAM110A	376.7	350.3	295	229.3
DNAJC1	973.8	1297.6	855.4	1067.8
SPTAN1	3645.6	2977	5689.5	4571
CLK2	1738.2	1908.6	1303.5	1461.6
CRAMP1L	999.1	1252.1	784.8	1283
OSBP	2345.3	2391.1	3870.2	3724.4
LYN	379.8	398.6	343.8	468
PSMD7	4717.3	5726.2	5139.4	6162.7
DPAGT1	855.2	845.1	843.1	754.8
CYP4B1	2464.1	3128.7	4043	4958.7
MRPS31	2979.1	3158.3	3368.9	4030.5
ABHD11OS	37.9	41.8	147.2	23.2
DOCK7	133.4	157.4	270.3	213.5
SLC2A2	30.7	37.2	78.6	27.9
METTL8	1698.4	1414	687.9	675.8
TSSK1	271.1	204.6	215.1	62
MCUR1	418.2	451.9	192.5	309.1
PTGER4	1351.8	2364	690.1	702.1
TAF8	1081.5	958.8	883.5	860.3
TPGS2	2107.3	2370.7	1550.8	3138.8
ARHGAP9	1010.5	1151.3	51.6	87.8
ARHGAP9	1483.1	1373.6	336	180
B4GALNT1	1893.5	1508.9	470.1	380.6
KLF13	2429.6	3008.1	2742.5	1980.9
LIN7C	4760	6351.7	3836.1	4045.4
SLC39A7	2987.7	2877.3	2193	2985.1
TSR3	97.8	13.5	119	37.5
ZCCHC3	117.5	29	35.2	122.4
ZCCHC3	300.1	177.2	629.6	661
PITPNM1	557	646.1	599.5	727.8
LRP2	218	242.3	257.8	222
PRL4A1	13.2	31.3	101.4	26.8
FBXO3	1350.9	1350.9	816.5	780.5
SEC31A	2743.5	2819	4398.5	4181.9
RGS10	221.3	78.6	71.6	83.4
FAM60A	1938.9	1562.2	469.3	623.6
ACOT8	458.8	723	370.9	159.2
PHF1	1358.8	1795.1	2863.8	2420.6
MYPOP	1439.3	1369.5	2154.7	1811.7
AASS	115.3	117.4	237.4	216.6
CCBL2	506.1	639.5	726.6	509.7
ADCY7	1093.3	1397.4	897.7	799.8
PSPC1	514.3	671.1	441.4	356.9
FXYD5	2153.9	2056.6	1133.9	777.1
SGCA	2685.5	2250.6	5640	5174.9
AGFG1	1757.5	1098.8	1120.6	1116.5
PXN	1194	1058	1303.1	1376.2
SCMH1	1957.2	1825.1	2464.9	2619.6
TUG1	2747.6	2498.3	1752.5	1664.6
ACADS	1939.5	1946.3	3371.9	4369.7
TM7SF3	1332.3	1071	1652.8	2061
LHPP	103.3	199	166.1	550.2
RERE	2329.5	2173.1	3494.7	3725.6
STRADA	171.2	306.4	444.2	486
GPN1	2892.9	2255.4	2278.2	2013.5
1300017J02RIK	35.1	57	35.2	22.2
PRKD2	2182.6	1776.4	1154.5	1137.6
BAIAP2L1	191.9	66	260.2	274.6
GNA11	268.6	230.1	437.3	263.9
LIMCH1	3697.8	3153.7	8359	6096.1
PWP1	706.6	832.1	642.4	661.1
SKIV2L	1222.9	1100.7	1067.3	1100.1
WRNIP1	1383.5	1267	1069.2	844.7
MAPK6	3097.4	2735	2540.6	2418.2
RFC4	886.1	1383.3	535.1	462.6
EMD	2486.7	2297.2	1835.1	2016.1
FRRS1	288.4	531.4	174.6	326.5
CD1D1	2051.6	2259.4	1113	917.7
CYB561	1169.8	1336.1	2078.8	2363.5
TMEM229B	864.3	882.4	318.5	413.4
FBXL3	898.6	796.8	775.4	864.7
POLD3	1386.6	1135.1	714.9	1055.6
ADI1	684.5	1013.2	943.1	922.6
DBN1	50	19.5	15.4	17.7
ISG20	2516.4	2511.3	2914.5	2297.3
CYTH3	1167.9	952.1	1363.5	1480.7
CYTH3	179	209.7	184.8	120.5
MAP4K4	3630.9	3336.1	2404.7	2741.2
GTPBP1	1266.7	1156.1	777.9	792.3
ZFP57	48.5	37.1	47.7	107.8
DIO2	456.8	463.6	431.9	526.6
PSD	1145.1	2006.2	1564.6	2512.6
GABPA	1687.5	2288.4	2064.9	1677.9
CSNK2A1	1122.9	1781.2	1532.2	580.8
